system_id,parent_org_id,canonical_name,division,level,state,state_abbr,normalized_name,aliases,verified,source
"miss-america-de-miss","miss-america","Miss Delaware","Miss","State","Delaware","DE","miss delaware","Miss Delaware|Miss Delaware Pageant|Miss Delaware Organization|Miss DE|Delaware Miss|Delaware MAO|MAO Delaware|Delaware Miss America","false","generated"
"miss-america-de-teen","miss-america","Miss Delaware's Teen","Teen","State","Delaware","DE","miss delawares teen","Miss Delaware's Teen|Miss Delaware's Teen Pageant|Miss Delaware's Teen Organization|Miss DE's Teen|Miss Delaware Teen|Miss Delawares Teen|Miss Delaware's Outstanding Teen|Delaware MAO|MAO Delaware|Delaware Miss America","false","generated"
"miss-america-fl-miss","miss-america","Miss Florida","Miss","State","Florida","FL","miss florida","Miss Florida|Miss Florida Pageant|Miss Florida Organization|Miss FL|Florida Miss|Florida MAO|MAO Florida|Florida Miss America","false","generated"
"miss-america-fl-teen","miss-america","Miss Florida's Teen","Teen","State","Florida","FL","miss floridas teen","Miss Florida's Teen|Miss Florida's Teen Pageant|Miss Florida's Teen Organization|Miss FL's Teen|Miss Florida Teen|Miss Floridas Teen|Miss Florida's Outstanding Teen|Florida MAO|MAO Florida|Florida Miss America","false","generated"
"miss-america-ga-miss","miss-america","Miss Georgia","Miss","State","Georgia","GA","miss georgia","Miss Georgia|Miss Georgia Pageant|Miss Georgia Organization|Miss GA|Georgia Miss|Georgia MAO|MAO Georgia|Georgia Miss America","false","generated"
"miss-america-ga-teen","miss-america","Miss Georgia's Teen","Teen","State","Georgia","GA","miss georgias teen","Miss Georgia's Teen|Miss Georgia's Teen Pageant|Miss Georgia's Teen Organization|Miss GA's Teen|Miss Georgia Teen|Miss Georgias Teen|Miss Georgia's Outstanding Teen|Georgia MAO|MAO Georgia|Georgia Miss America","false","generated"
"miss-america-hi-miss","miss-america","Miss Hawaii","Miss","State","Hawaii","HI","miss hawaii","Miss Hawaii|Miss Hawaii Pageant|Miss Hawaii Organization|Miss HI|Hawaii Miss|Hawaii MAO|MAO Hawaii|Hawaii Miss America","false","generated"
"miss-america-hi-teen","miss-america","Miss Hawaii's Teen","Teen","State","Hawaii","HI","miss hawaiis teen","Miss Hawaii's Teen|Miss Hawaii's Teen Pageant|Miss Hawaii's Teen Organization|Miss HI's Teen|Miss Hawaii Teen|Miss Hawaiis Teen|Miss Hawaii's Outstanding Teen|Hawaii MAO|MAO Hawaii|Hawaii Miss America","false","generated"
"miss-america-id-miss","miss-america","Miss Idaho","Miss","State","Idaho","ID","miss idaho","Miss Idaho|Miss Idaho Pageant|Miss Idaho Organization|Miss ID|Idaho Miss|Idaho MAO|MAO Idaho|Idaho Miss America","false","generated"
"miss-america-id-teen","miss-america","Miss Idaho's Teen","Teen","State","Idaho","ID","miss idahos teen","Miss Idaho's Teen|Miss Idaho's Teen Pageant|Miss Idaho's Teen Organization|Miss ID's Teen|Miss Idaho Teen|Miss Idahos Teen|Miss Idaho's Outstanding Teen|Idaho MAO|MAO Idaho|Idaho Miss America","false","generated"
"miss-america-il-miss","miss-america","Miss Illinois","Miss","State","Illinois","IL","miss illinois","Miss Illinois|Miss Illinois Pageant|Miss Illinois Organization|Miss IL|Illinois Miss|Illinois MAO|MAO Illinois|Illinois Miss America","false","generated"
"miss-america-il-teen","miss-america","Miss Illinois's Teen","Teen","State","Illinois","IL","miss illinoiss teen","Miss Illinois's Teen|Miss Illinois's Teen Pageant|Miss Illinois's Teen Organization|Miss IL's Teen|Miss Illinois Teen|Miss Illinoiss Teen|Miss Illinois's Outstanding Teen|Illinois MAO|MAO Illinois|Illinois Miss America","false","generated"
"miss-america-in-miss","miss-america","Miss Indiana","Miss","State","Indiana","IN","miss indiana","Miss Indiana|Miss Indiana Pageant|Miss Indiana Organization|Miss IN|Indiana Miss|Indiana MAO|MAO Indiana|Indiana Miss America","false","generated"
"miss-america-in-teen","miss-america","Miss Indiana's Teen","Teen","State","Indiana","IN","miss indianas teen","Miss Indiana's Teen|Miss Indiana's Teen Pageant|Miss Indiana's Teen Organization|Miss IN's Teen|Miss Indiana Teen|Miss Indianas Teen|Miss Indiana's Outstanding Teen|Indiana MAO|MAO Indiana|Indiana Miss America","false","generated"
"miss-america-ia-miss","miss-america","Miss Iowa","Miss","State","Iowa","IA","miss iowa","Miss Iowa|Miss Iowa Pageant|Miss Iowa Organization|Miss IA|Iowa Miss|Iowa MAO|MAO Iowa|Iowa Miss America","false","generated"
"miss-america-ia-teen","miss-america","Miss Iowa's Teen","Teen","State","Iowa","IA","miss iowas teen","Miss Iowa's Teen|Miss Iowa's Teen Pageant|Miss Iowa's Teen Organization|Miss IA's Teen|Miss Iowa Teen|Miss Iowas Teen|Miss Iowa's Outstanding Teen|Iowa MAO|MAO Iowa|Iowa Miss America","false","generated"
"miss-america-ks-miss","miss-america","Miss Kansas","Miss","State","Kansas","KS","miss kansas","Miss Kansas|Miss Kansas Pageant|Miss Kansas Organization|Miss KS|Kansas Miss|Kansas MAO|MAO Kansas|Kansas Miss America","false","generated"
"miss-america-ks-teen","miss-america","Miss Kansas's Teen","Teen","State","Kansas","KS","miss kansass teen","Miss Kansas's Teen|Miss Kansas's Teen Pageant|Miss Kansas's Teen Organization|Miss KS's Teen|Miss Kansas Teen|Miss Kansass Teen|Miss Kansas's Outstanding Teen|Kansas MAO|MAO Kansas|Kansas Miss America","false","generated"
"miss-america-ky-miss","miss-america","Miss Kentucky","Miss","State","Kentucky","KY","miss kentucky","Miss Kentucky|Miss Kentucky Pageant|Miss Kentucky Organization|Miss KY|Kentucky Miss|Kentucky MAO|MAO Kentucky|Kentucky Miss America","false","generated"
"miss-america-ky-teen","miss-america","Miss Kentucky's Teen","Teen","State","Kentucky","KY","miss kentuckys teen","Miss Kentucky's Teen|Miss Kentucky's Teen Pageant|Miss Kentucky's Teen Organization|Miss KY's Teen|Miss Kentucky Teen|Miss Kentuckys Teen|Miss Kentucky's Outstanding Teen|Kentucky MAO|MAO Kentucky|Kentucky Miss America","false","generated"
"miss-america-la-miss","miss-america","Miss Louisiana","Miss","State","Louisiana","LA","miss louisiana","Miss Louisiana|Miss Louisiana Pageant|Miss Louisiana Organization|Miss LA|Louisiana Miss|Louisiana MAO|MAO Louisiana|Louisiana Miss America","false","generated"
"miss-america-la-teen","miss-america","Miss Louisiana's Teen","Teen","State","Louisiana","LA","miss louisianas teen","Miss Louisiana's Teen|Miss Louisiana's Teen Pageant|Miss Louisiana's Teen Organization|Miss LA's Teen|Miss Louisiana Teen|Miss Louisianas Teen|Miss Louisiana's Outstanding Teen|Louisiana MAO|MAO Louisiana|Louisiana Miss America","false","generated"
"miss-america-me-miss","miss-america","Miss Maine","Miss","State","Maine","ME","miss maine","Miss Maine|Miss Maine Pageant|Miss Maine Organization|Miss ME|Maine Miss|Maine MAO|MAO Maine|Maine Miss America","false","generated"
"miss-america-me-teen","miss-america","Miss Maine's Teen","Teen","State","Maine","ME","miss maines teen","Miss Maine's Teen|Miss Maine's Teen Pageant|Miss Maine's Teen Organization|Miss ME's Teen|Miss Maine Teen|Miss Maines Teen|Miss Maine's Outstanding Teen|Maine MAO|MAO Maine|Maine Miss America","false","generated"
"miss-america-md-miss","miss-america","Miss Maryland","Miss","State","Maryland","MD","miss maryland","Miss Maryland|Miss Maryland Pageant|Miss Maryland Organization|Miss MD|Maryland Miss|Maryland MAO|MAO Maryland|Maryland Miss America","false","generated"
"miss-america-md-teen","miss-america","Miss Maryland's Teen","Teen","State","Maryland","MD","miss marylands teen","Miss Maryland's Teen|Miss Maryland's Teen Pageant|Miss Maryland's Teen Organization|Miss MD's Teen|Miss Maryland Teen|Miss Marylands Teen|Miss Maryland's Outstanding Teen|Maryland MAO|MAO Maryland|Maryland Miss America","false","generated"
"miss-america-ma-miss","miss-america","Miss Massachusetts","Miss","State","Massachusetts","MA","miss massachusetts","Miss Massachusetts|Miss Massachusetts Pageant|Miss Massachusetts Organization|Miss MA|Massachusetts Miss|Massachusetts MAO|MAO Massachusetts|Massachusetts Miss America","false","generated"
"miss-america-ma-teen","miss-america","Miss Massachusetts's Teen","Teen","State","Massachusetts","MA","miss massachusettss teen","Miss Massachusetts's Teen|Miss Massachusetts's Teen Pageant|Miss Massachusetts's Teen Organization|Miss MA's Teen|Miss Massachusetts Teen|Miss Massachusettss Teen|Miss Massachusetts's Outstanding Teen|Massachusetts MAO|MAO Massachusetts|Massachusetts Miss America","false","generated"
"miss-america-mi-miss","miss-america","Miss Michigan","Miss","State","Michigan","MI","miss michigan","Miss Michigan|Miss Michigan Pageant|Miss Michigan Organization|Miss MI|Michigan Miss|Michigan MAO|MAO Michigan|Michigan Miss America","false","generated"
"miss-america-mi-teen","miss-america","Miss Michigan's Teen","Teen","State","Michigan","MI","miss michigans teen","Miss Michigan's Teen|Miss Michigan's Teen Pageant|Miss Michigan's Teen Organization|Miss MI's Teen|Miss Michigan Teen|Miss Michigans Teen|Miss Michigan's Outstanding Teen|Michigan MAO|MAO Michigan|Michigan Miss America","false","generated"
"miss-america-mn-miss","miss-america","Miss Minnesota","Miss","State","Minnesota","MN","miss minnesota","Miss Minnesota|Miss Minnesota Pageant|Miss Minnesota Organization|Miss MN|Minnesota Miss|Minnesota MAO|MAO Minnesota|Minnesota Miss America","false","generated"
"miss-america-mn-teen","miss-america","Miss Minnesota's Teen","Teen","State","Minnesota","MN","miss minnesotas teen","Miss Minnesota's Teen|Miss Minnesota's Teen Pageant|Miss Minnesota's Teen Organization|Miss MN's Teen|Miss Minnesota Teen|Miss Minnesotas Teen|Miss Minnesota's Outstanding Teen|Minnesota MAO|MAO Minnesota|Minnesota Miss America","false","generated"
"miss-america-ms-miss","miss-america","Miss Mississippi","Miss","State","Mississippi","MS","miss mississippi","Miss Mississippi|Miss Mississippi Pageant|Miss Mississippi Organization|Miss MS|Mississippi Miss|Mississippi MAO|MAO Mississippi|Mississippi Miss America","false","generated"
"miss-america-ms-teen","miss-america","Miss Mississippi's Teen","Teen","State","Mississippi","MS","miss mississippis teen","Miss Mississippi's Teen|Miss Mississippi's Teen Pageant|Miss Mississippi's Teen Organization|Miss MS's Teen|Miss Mississippi Teen|Miss Mississippis Teen|Miss Mississippi's Outstanding Teen|Mississippi MAO|MAO Mississippi|Mississippi Miss America","false","generated"
"miss-america-mo-miss","miss-america","Miss Missouri","Miss","State","Missouri","MO","miss missouri","Miss Missouri|Miss Missouri Pageant|Miss Missouri Organization|Miss MO|Missouri Miss|Missouri MAO|MAO Missouri|Missouri Miss America","false","generated"
"miss-america-mo-teen","miss-america","Miss Missouri's Teen","Teen","State","Missouri","MO","miss missouris teen","Miss Missouri's Teen|Miss Missouri's Teen Pageant|Miss Missouri's Teen Organization|Miss MO's Teen|Miss Missouri Teen|Miss Missouris Teen|Miss Missouri's Outstanding Teen|Missouri MAO|MAO Missouri|Missouri Miss America","false","generated"
"miss-america-mt-miss","miss-america","Miss Montana","Miss","State","Montana","MT","miss montana","Miss Montana|Miss Montana Pageant|Miss Montana Organization|Miss MT|Montana Miss|Montana MAO|MAO Montana|Montana Miss America","false","generated"
"miss-america-mt-teen","miss-america","Miss Montana's Teen","Teen","State","Montana","MT","miss montanas teen","Miss Montana's Teen|Miss Montana's Teen Pageant|Miss Montana's Teen Organization|Miss MT's Teen|Miss Montana Teen|Miss Montanas Teen|Miss Montana's Outstanding Teen|Montana MAO|MAO Montana|Montana Miss America","false","generated"
"miss-america-ne-miss","miss-america","Miss Nebraska","Miss","State","Nebraska","NE","miss nebraska","Miss Nebraska|Miss Nebraska Pageant|Miss Nebraska Organization|Miss NE|Nebraska Miss|Nebraska MAO|MAO Nebraska|Nebraska Miss America","false","generated"
"miss-america-ne-teen","miss-america","Miss Nebraska's Teen","Teen","State","Nebraska","NE","miss nebraskas teen","Miss Nebraska's Teen|Miss Nebraska's Teen Pageant|Miss Nebraska's Teen Organization|Miss NE's Teen|Miss Nebraska Teen|Miss Nebraskas Teen|Miss Nebraska's Outstanding Teen|Nebraska MAO|MAO Nebraska|Nebraska Miss America","false","generated"
"miss-america-nv-miss","miss-america","Miss Nevada","Miss","State","Nevada","NV","miss nevada","Miss Nevada|Miss Nevada Pageant|Miss Nevada Organization|Miss NV|Nevada Miss|Nevada MAO|MAO Nevada|Nevada Miss America","false","generated"
"miss-america-nv-teen","miss-america","Miss Nevada's Teen","Teen","State","Nevada","NV","miss nevadas teen","Miss Nevada's Teen|Miss Nevada's Teen Pageant|Miss Nevada's Teen Organization|Miss NV's Teen|Miss Nevada Teen|Miss Nevadas Teen|Miss Nevada's Outstanding Teen|Nevada MAO|MAO Nevada|Nevada Miss America","false","generated"
"miss-america-nh-miss","miss-america","Miss New Hampshire","Miss","State","New Hampshire","NH","miss new hampshire","Miss New Hampshire|Miss New Hampshire Pageant|Miss New Hampshire Organization|Miss NH|New Hampshire Miss|New Hampshire MAO|MAO New Hampshire|New Hampshire Miss America","false","generated"
"miss-america-nh-teen","miss-america","Miss New Hampshire's Teen","Teen","State","New Hampshire","NH","miss new hampshires teen","Miss New Hampshire's Teen|Miss New Hampshire's Teen Pageant|Miss New Hampshire's Teen Organization|Miss NH's Teen|Miss New Hampshire Teen|Miss New Hampshires Teen|Miss New Hampshire's Outstanding Teen|New Hampshire MAO|MAO New Hampshire|New Hampshire Miss America","false","generated"
"miss-america-nj-miss","miss-america","Miss New Jersey","Miss","State","New Jersey","NJ","miss new jersey","Miss New Jersey|Miss New Jersey Pageant|Miss New Jersey Organization|Miss NJ|New Jersey Miss|New Jersey MAO|MAO New Jersey|New Jersey Miss America","false","generated"
"miss-america-nj-teen","miss-america","Miss New Jersey's Teen","Teen","State","New Jersey","NJ","miss new jerseys teen","Miss New Jersey's Teen|Miss New Jersey's Teen Pageant|Miss New Jersey's Teen Organization|Miss NJ's Teen|Miss New Jersey Teen|Miss New Jerseys Teen|Miss New Jersey's Outstanding Teen|New Jersey MAO|MAO New Jersey|New Jersey Miss America","false","generated"
"miss-america-nm-miss","miss-america","Miss New Mexico","Miss","State","New Mexico","NM","miss new mexico","Miss New Mexico|Miss New Mexico Pageant|Miss New Mexico Organization|Miss NM|New Mexico Miss|New Mexico MAO|MAO New Mexico|New Mexico Miss America","false","generated"
"miss-america-nm-teen","miss-america","Miss New Mexico's Teen","Teen","State","New Mexico","NM","miss new mexicos teen","Miss New Mexico's Teen|Miss New Mexico's Teen Pageant|Miss New Mexico's Teen Organization|Miss NM's Teen|Miss New Mexico Teen|Miss New Mexicos Teen|Miss New Mexico's Outstanding Teen|New Mexico MAO|MAO New Mexico|New Mexico Miss America","false","generated"
"miss-america-ny-miss","miss-america","Miss New York","Miss","State","New York","NY","miss new york","Miss New York|Miss New York Pageant|Miss New York Organization|Miss NY|New York Miss|New York MAO|MAO New York|New York Miss America","false","generated"
"miss-america-ny-teen","miss-america","Miss New York's Teen","Teen","State","New York","NY","miss new yorks teen","Miss New York's Teen|Miss New York's Teen Pageant|Miss New York's Teen Organization|Miss NY's Teen|Miss New York Teen|Miss New Yorks Teen|Miss New York's Outstanding Teen|New York MAO|MAO New York|New York Miss America","false","generated"
"miss-america-nc-miss","miss-america","Miss North Carolina","Miss","State","North Carolina","NC","miss north carolina","Miss North Carolina|Miss North Carolina Pageant|Miss North Carolina Organization|Miss NC|North Carolina Miss|North Carolina MAO|MAO North Carolina|North Carolina Miss America","false","generated"
"miss-america-nc-teen","miss-america","Miss North Carolina's Teen","Teen","State","North Carolina","NC","miss north carolinas teen","Miss North Carolina's Teen|Miss North Carolina's Teen Pageant|Miss North Carolina's Teen Organization|Miss NC's Teen|Miss North Carolina Teen|Miss North Carolinas Teen|Miss North Carolina's Outstanding Teen|North Carolina MAO|MAO North Carolina|North Carolina Miss America","false","generated"
"miss-america-nd-miss","miss-america","Miss North Dakota","Miss","State","North Dakota","ND","miss north dakota","Miss North Dakota|Miss North Dakota Pageant|Miss North Dakota Organization|Miss ND|North Dakota Miss|North Dakota MAO|MAO North Dakota|North Dakota Miss America","false","generated"
"miss-america-nd-teen","miss-america","Miss North Dakota's Teen","Teen","State","North Dakota","ND","miss north dakotas teen","Miss North Dakota's Teen|Miss North Dakota's Teen Pageant|Miss North Dakota's Teen Organization|Miss ND's Teen|Miss North Dakota Teen|Miss North Dakotas Teen|Miss North Dakota's Outstanding Teen|North Dakota MAO|MAO North Dakota|North Dakota Miss America","false","generated"
"miss-america-oh-miss","miss-america","Miss Ohio","Miss","State","Ohio","OH","miss ohio","Miss Ohio|Miss Ohio Pageant|Miss Ohio Organization|Miss OH|Ohio Miss|Ohio MAO|MAO Ohio|Ohio Miss America","false","generated"
"miss-america-oh-teen","miss-america","Miss Ohio's Teen","Teen","State","Ohio","OH","miss ohios teen","Miss Ohio's Teen|Miss Ohio's Teen Pageant|Miss Ohio's Teen Organization|Miss OH's Teen|Miss Ohio Teen|Miss Ohios Teen|Miss Ohio's Outstanding Teen|Ohio MAO|MAO Ohio|Ohio Miss America","false","generated"
"miss-america-ok-miss","miss-america","Miss Oklahoma","Miss","State","Oklahoma","OK","miss oklahoma","Miss Oklahoma|Miss Oklahoma Pageant|Miss Oklahoma Organization|Miss OK|Oklahoma Miss|Oklahoma MAO|MAO Oklahoma|Oklahoma Miss America","false","generated"
"miss-america-ok-teen","miss-america","Miss Oklahoma's Teen","Teen","State","Oklahoma","OK","miss oklahomas teen","Miss Oklahoma's Teen|Miss Oklahoma's Teen Pageant|Miss Oklahoma's Teen Organization|Miss OK's Teen|Miss Oklahoma Teen|Miss Oklahomas Teen|Miss Oklahoma's Outstanding Teen|Oklahoma MAO|MAO Oklahoma|Oklahoma Miss America","false","generated"
"miss-america-or-miss","miss-america","Miss Oregon","Miss","State","Oregon","OR","miss oregon","Miss Oregon|Miss Oregon Pageant|Miss Oregon Organization|Miss OR|Oregon Miss|Oregon MAO|MAO Oregon|Oregon Miss America","false","generated"
"miss-america-or-teen","miss-america","Miss Oregon's Teen","Teen","State","Oregon","OR","miss oregons teen","Miss Oregon's Teen|Miss Oregon's Teen Pageant|Miss Oregon's Teen Organization|Miss OR's Teen|Miss Oregon Teen|Miss Oregons Teen|Miss Oregon's Outstanding Teen|Oregon MAO|MAO Oregon|Oregon Miss America","false","generated"
"miss-america-pa-miss","miss-america","Miss Pennsylvania","Miss","State","Pennsylvania","PA","miss pennsylvania","Miss Pennsylvania|Miss Pennsylvania Pageant|Miss Pennsylvania Organization|Miss PA|Pennsylvania Miss|Pennsylvania MAO|MAO Pennsylvania|Pennsylvania Miss America","false","generated"
"miss-america-pa-teen","miss-america","Miss Pennsylvania's Teen","Teen","State","Pennsylvania","PA","miss pennsylvanias teen","Miss Pennsylvania's Teen|Miss Pennsylvania's Teen Pageant|Miss Pennsylvania's Teen Organization|Miss PA's Teen|Miss Pennsylvania Teen|Miss Pennsylvanias Teen|Miss Pennsylvania's Outstanding Teen|Pennsylvania MAO|MAO Pennsylvania|Pennsylvania Miss America","false","generated"
"miss-america-ri-miss","miss-america","Miss Rhode Island","Miss","State","Rhode Island","RI","miss rhode island","Miss Rhode Island|Miss Rhode Island Pageant|Miss Rhode Island Organization|Miss RI|Rhode Island Miss|Rhode Island MAO|MAO Rhode Island|Rhode Island Miss America","false","generated"
"miss-america-ri-teen","miss-america","Miss Rhode Island's Teen","Teen","State","Rhode Island","RI","miss rhode islands teen","Miss Rhode Island's Teen|Miss Rhode Island's Teen Pageant|Miss Rhode Island's Teen Organization|Miss RI's Teen|Miss Rhode Island Teen|Miss Rhode Islands Teen|Miss Rhode Island's Outstanding Teen|Rhode Island MAO|MAO Rhode Island|Rhode Island Miss America","false","generated"
"miss-america-sc-miss","miss-america","Miss South Carolina","Miss","State","South Carolina","SC","miss south carolina","Miss South Carolina|Miss South Carolina Pageant|Miss South Carolina Organization|Miss SC|South Carolina Miss|South Carolina MAO|MAO South Carolina|South Carolina Miss America","false","generated"
"miss-america-sc-teen","miss-america","Miss South Carolina's Teen","Teen","State","South Carolina","SC","miss south carolinas teen","Miss South Carolina's Teen|Miss South Carolina's Teen Pageant|Miss South Carolina's Teen Organization|Miss SC's Teen|Miss South Carolina Teen|Miss South Carolinas Teen|Miss South Carolina's Outstanding Teen|South Carolina MAO|MAO South Carolina|South Carolina Miss America","false","generated"
"miss-america-sd-miss","miss-america","Miss South Dakota","Miss","State","South Dakota","SD","miss south dakota","Miss South Dakota|Miss South Dakota Pageant|Miss South Dakota Organization|Miss SD|South Dakota Miss|South Dakota MAO|MAO South Dakota|South Dakota Miss America","false","generated"
"miss-america-sd-teen","miss-america","Miss South Dakota's Teen","Teen","State","South Dakota","SD","miss south dakotas teen","Miss South Dakota's Teen|Miss South Dakota's Teen Pageant|Miss South Dakota's Teen Organization|Miss SD's Teen|Miss South Dakota Teen|Miss South Dakotas Teen|Miss South Dakota's Outstanding Teen|South Dakota MAO|MAO South Dakota|South Dakota Miss America","false","generated"
"miss-america-tn-miss","miss-america","Miss Tennessee","Miss","State","Tennessee","TN","miss tennessee","Miss Tennessee|Miss Tennessee Pageant|Miss Tennessee Organization|Miss TN|Tennessee Miss|Tennessee MAO|MAO Tennessee|Tennessee Miss America","false","generated"
"miss-america-tn-teen","miss-america","Miss Tennessee's Teen","Teen","State","Tennessee","TN","miss tennessees teen","Miss Tennessee's Teen|Miss Tennessee's Teen Pageant|Miss Tennessee's Teen Organization|Miss TN's Teen|Miss Tennessee Teen|Miss Tennessees Teen|Miss Tennessee's Outstanding Teen|Tennessee MAO|MAO Tennessee|Tennessee Miss America","false","generated"
"miss-america-tx-miss","miss-america","Miss Texas","Miss","State","Texas","TX","miss texas","Miss Texas|Miss Texas Pageant|Miss Texas Organization|Miss TX|Texas Miss|Texas MAO|MAO Texas|Texas Miss America","false","generated"
"miss-america-tx-teen","miss-america","Miss Texas's Teen","Teen","State","Texas","TX","miss texass teen","Miss Texas's Teen|Miss Texas's Teen Pageant|Miss Texas's Teen Organization|Miss TX's Teen|Miss Texas Teen|Miss Texass Teen|Miss Texas's Outstanding Teen|Texas MAO|MAO Texas|Texas Miss America","false","generated"
"miss-america-ut-miss","miss-america","Miss Utah","Miss","State","Utah","UT","miss utah","Miss Utah|Miss Utah Pageant|Miss Utah Organization|Miss UT|Utah Miss|Utah MAO|MAO Utah|Utah Miss America","false","generated"
"miss-america-ut-teen","miss-america","Miss Utah's Teen","Teen","State","Utah","UT","miss utahs teen","Miss Utah's Teen|Miss Utah's Teen Pageant|Miss Utah's Teen Organization|Miss UT's Teen|Miss Utah Teen|Miss Utahs Teen|Miss Utah's Outstanding Teen|Utah MAO|MAO Utah|Utah Miss America","false","generated"
"miss-america-vt-miss","miss-america","Miss Vermont","Miss","State","Vermont","VT","miss vermont","Miss Vermont|Miss Vermont Pageant|Miss Vermont Organization|Miss VT|Vermont Miss|Vermont MAO|MAO Vermont|Vermont Miss America","false","generated"
"miss-america-vt-teen","miss-america","Miss Vermont's Teen","Teen","State","Vermont","VT","miss vermonts teen","Miss Vermont's Teen|Miss Vermont's Teen Pageant|Miss Vermont's Teen Organization|Miss VT's Teen|Miss Vermont Teen|Miss Vermonts Teen|Miss Vermont's Outstanding Teen|Vermont MAO|MAO Vermont|Vermont Miss America","false","generated"
"miss-america-va-miss","miss-america","Miss Virginia","Miss","State","Virginia","VA","miss virginia","Miss Virginia|Miss Virginia Pageant|Miss Virginia Organization|Miss VA|Virginia Miss|Virginia MAO|MAO Virginia|Virginia Miss America","false","generated"
